source_row_index,ene_smiles,diene_smiles,prod_smiles,key_atom_mapping,ene_part,diene_part,rxn_smiles,ene_id,diene_id,prod_id,G_T_ene,G_T_diene,H_T_ts,G_T_ts,H_T_prod,G_T_prod,G_T_rxn,G_T_activate,G_T_activate - G_T_rxn,reaction_id
0,C=C,c1scc2c1OCCO2,C1COC2=C(O1)[C@@H]1CC[C@H]2S1,"{'1': 0, '2': 1, '3': 6, '6': 8, '5': 9, '4': 10}","[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",[C:1](=[C:2]([H:5])[H:6])([H:3])[H:4].[c:7]1([H:16])[s:8][c:9]([H:17])[c:10]2[c:11]1[O:12][C:13]([H:18])([H:19])[C:14]([H:20])([H:21])[O:15]2>>[C:1]1([H:3])([H:4])[C:2]([H:5])([H:6])[C@@:7]2([H:16])[S:8][C@:9]1([H:17])[C:10]1=[C:11]2[O:12][C:13]([H:18])([H:19])[C:14]([H:20])([H:21])[O:15]1,0,403256,0,-49263.90008547754,-489709.8864038553,-538907.4499527918,-538935.2724678528,-538942.7799912005,-538969.8789878379,3.907501494861208,38.51402147999033,34.606519985129125,rxn-00000000
1,C=C,C=C(OC)C(=C)OC,COC1=C(OC)CCCC1,"{'1': 0, '2': 1, '3': 6, '4': 7, '5': 10, '6': 11}","[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",[C:1](=[C:2]([H:5])[H:6])([H:3])[H:4].[C:7](=[C:8]([O:9][C:10]([H:17])([H:18])[H:19])[C:11](=[C:12]([H:20])[H:21])[O:13][C:14]([H:22])([H:23])[H:24])([H:15])[H:16]>>[C:1]1([H:3])([H:4])[C:2]([H:5])([H:6])[C:7]([H:15])([H:16])[C:8]([O:9][C:10]([H:17])([H:18])[H:19])=[C:11]([O:13][C:14]([H:22])([H:23])[H:24])[C:12]1([H:20])[H:21],0,409235,0,-49263.90008547754,-241383.1030232495,-290578.8147917279,-290609.4573343654,-290640.7449567422,-290671.1597134405,-24.15660471346928,37.54577436164254,61.70237907511182,rxn-00000001
2,C=C,c1ccsc1,C1=C[C@H]2CC[C@@H]1S2,"{'1': 0, '2': 1, '5': 6, '4': 7, '3': 8, '6': 10}","[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9, 10, 11, 12, 13, 14]",[C:1](=[C:2]([H:5])[H:6])([H:3])[H:4].[c:7]1([H:12])[c:8]([H:13])[c:9]([H:14])[s:10][c:11]1[H:15]>>[C:1]1([H:3])([H:4])[C:2]([H:5])([H:6])[C@:9]2([H:14])[C:8]([H:13])=[C:7]([H:12])[C@@:11]1([H:15])[S:10]2,0,1597767,0,-49263.90008547754,-346863.3385637431,-396062.1295212107,-396085.2965434837,-396097.5285856616,-396119.9068285257,7.331820694904309,41.942105736990925,34.610285042086616,rxn-00000002
3,C=C,COC(=O)/C=C/C=C/C(=O)OC,COC(=O)[C@@H]1C=C[C@H](C(=O)OC)CC1,"{'1': 0, '2': 1, '3': 10, '4': 11, '5': 12, '6': 13}","[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",[C:1](=[C:2]([H:5])[H:6])([H:3])[H:4].[C:7]([O:8][C:9](=[O:10])/[C:11](=[C:12]([C:13](=[C:14](/[C:15](=[O:16])[O:17][C:18]([H:26])([H:27])[H:28])[H:25])/[H:24])\[H:23])[H:22])([H:19])([H:20])[H:21]>>[C:1]1([H:3])([H:4])[C:2]([H:5])([H:6])[C@:11]([C:9]([O:8][C:7]([H:19])([H:20])[H:21])=[O:10])([H:22])[C:12]([H:23])=[C:13]([H:24])[C@:14]1([C:15](=[O:16])[O:17][C:18]([H:26])([H:27])[H:28])[H:25],0,1662498,0,-49263.90008547754,-383538.348148656,-432736.8956324477,-432774.1653026407,-432788.0006315249,-432824.7406837218,-22.492449588200543,28.08293149288511,50.57538108108565,rxn-00000003
4,C=C,C/C=C/C=C/C,C[C@@H]1C=C[C@H](C)CC1,"{'1': 0, '2': 1, '3': 7, '4': 8, '5': 9, '6': 10}","[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]",[C:1](=[C:2]([H:5])[H:6])([H:3])[H:4].[C:7](/[C:8](=[C:9]([C:10](=[C:11](/[C:12]([H:20])([H:21])[H:22])[H:19])/[H:18])\[H:17])[H:16])([H:13])([H:14])[H:15]>>[C:1]1([H:3])([H:4])[C:2]([H:5])([H:6])[C@:8]([C:7]([H:13])([H:14])[H:15])([H:16])[C:9]([H:17])=[C:10]([H:18])[C@:11]1([C:12]([H:20])([H:21])[H:22])[H:19],0,1699550,0,-49263.90008547754,-147071.7385565369,-196276.4776763092,-196304.089348187,-196333.1104063434,-196359.0892985697,-23.45065655527287,31.549293827440124,54.999950382713,rxn-00000004
5,C=C,C/C(=C/C=C(\C)C(=O)O)C(=O)O,C[C@]1(C(=O)O)C=C[C@](C)(C(=O)O)CC1,"{'1': 0, '2': 1, '3': 7, '4': 8, '5': 9, '6': 10}","[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",[C:1](=[C:2]([H:5])[H:6])([H:3])[H:4].[C:7](/[C:8](=[C:9]([C:10](=[C:11](\[C:12]([H:24])([H:25])[H:26])[C:13](=[O:14])[O:15][H:27])/[H:23])\[H:22])[C:16](=[O:17])[O:18][H:28])([H:19])([H:20])[H:21]>>[C:1]1([H:3])([H:4])[C:2]([H:5])([H:6])[C@@:8]([C:7]([H:19])([H:20])[H:21])([C:16](=[O:17])[O:18][H:28])[C:9]([H:22])=[C:10]([H:23])[C@:11]1([C:12]([H:24])([H:25])[H:26])[C:13](=[O:14])[O:15][H:27],0,1705072,0,-49263.90008547754,-383558.0362584047,-432743.0144773293,-432778.1079446662,-432807.8462461516,-432842.4408434567,-20.5044995744247,43.82839921605773,64.33289879048243,rxn-00000005
6,C=C,C/C(=C/C=C(\C)C(=O)O)C(=O)O,C[C@@]1(C(=O)O)C=C[C@@](C)(C(=O)O)CC1,"{'1': 0, '2': 1, '3': 7, '4': 8, '5': 9, '6': 10}","[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",[C:1](=[C:2]([H:5])[H:6])([H:3])[H:4].[C:7](/[C:8](=[C:9]([C:10](=[C:11](\[C:12]([H:24])([H:25])[H:26])[C:13](=[O:14])[O:15][H:27])/[H:23])\[H:22])[C:16](=[O:17])[O:18][H:28])([H:19])([H:20])[H:21]>>[C:1]1([H:3])([H:4])[C:2]([H:5])([H:6])[C@:8]([C:7]([H:19])([H:20])[H:21])([C:16](=[O:17])[O:18][H:28])[C:9]([H:22])=[C:10]([H:23])[C@@:11]1([C:12]([H:24])([H:25])[H:26])[C:13](=[O:14])[O:15][H:27],0,1705072,1,-49263.90008547754,-383558.0362584047,-432743.3213294621,-432778.4135417801,-432807.8462461516,-432842.4408434567,-20.5044995744247,43.52280210214667,64.02730167657137,rxn-00000006
8,C=C,CC(C)=CC=C(C)C,CC1(C)C=CC(C)(C)CC1,"{'1': 0, '2': 1, '3': 7, '4': 9, '5': 10, '6': 11}","[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",[C:1](=[C:2]([H:5])[H:6])([H:3])[H:4].[C:7]([C:8]([C:9]([H:18])([H:19])[H:20])=[C:10]([C:11](=[C:12]([C:13]([H:23])([H:24])[H:25])[C:14]([H:26])([H:27])[H:28])[H:22])[H:21])([H:15])([H:16])[H:17]>>[C:1]1([H:3])([H:4])[C:2]([H:5])([H:6])[C:8]([C:7]([H:15])([H:16])[H:17])([C:9]([H:18])([H:19])[H:20])[C:10]([H:21])=[C:11]([H:22])[C:12]1([C:13]([H:23])([H:24])[H:25])[C:14]([H:26])([H:27])[H:28],0,1712477,0,-49263.90008547754,-196354.1056183266,-245538.5592393309,-245569.4308229264,-245609.1333473504,-245638.4455699028,-20.43986609866261,48.574880877742544,69.01474697640515,rxn-00000008
9,C=C,CCC/C=C/C=C/CCC,CCC[C@H]1C=C[C@@H](CCC)CC1,"{'1': 0, '2': 1, '3': 9, '4': 10, '5': 11, '6': 12}","[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]",[C:1](=[C:2]([H:5])[H:6])([H:3])[H:4].[C:7]([C:8]([C:9](/[C:10](=[C:11]([C:12](=[C:13](/[C:14]([C:15]([C:16]([H:32])([H:33])[H:34])([H:30])[H:31])([H:28])[H:29])[H:27])/[H:26])\[H:25])[H:24])([H:22])[H:23])([H:20])[H:21])([H:17])([H:18])[H:19]>>[C:1]1([H:3])([H:4])[C:2]([H:5])([H:6])[C@:10]([C:9]([C:8]([C:7]([H:17])([H:18])[H:19])([H:20])[H:21])([H:22])[H:23])([H:24])[C:11]([H:25])=[C:12]([H:26])[C@:13]1([C:14]([C:15]([C:16]([H:32])([H:33])[H:34])([H:30])[H:31])([H:28])[H:29])[H:27],0,1729072,0,-49263.90008547754,-245626.0422176385,-294822.2277557699,-294858.5266688066,-294877.9123189888,-294912.7993357088,-22.857032592757605,31.415634309407324,54.27266690216493,rxn-00000009
11,C=C,FC(F)=C(F)C(F)=C(F)F,FC1=C(F)C(F)(F)CCC1(F)F,"{'1': 0, '2': 1, '3': 7, '4': 9, '5': 11, '6': 13}","[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",[C:1](=[C:2]([H:5])[H:6])([H:3])[H:4].[F:7][C:8]([F:9])=[C:10]([F:11])[C:12]([F:13])=[C:14]([F:15])[F:16]>>[C:1]1([H:3])([H:4])[C:2]([H:5])([H:6])[C:8]([F:7])([F:9])[C:10]([F:11])=[C:12]([F:13])[C:14]1([F:15])[F:16],0,1845828,0,-49263.90008547754,-471142.974187833,-520346.7814560364,-520377.9241237246,-520429.9992524487,-520459.3943062518,-52.52003294124734,28.95014958595857,81.4701825272059,rxn-00000011
12,C=C,Cc1sc(C)c2c1CS(=O)C2,C[C@]12CC[C@](C)(S1)C1=C2CS(=O)C1,"{'1': 0, '2': 1, '3': 7, '6': 9, '5': 11, '4': 12}","[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",[C:1](=[C:2]([H:5])[H:6])([H:3])[H:4].[C:7]([c:8]1[s:9][c:10]([C:11]([H:21])([H:22])[H:23])[c:12]2[c:13]1[C:14]([H:24])([H:25])[S:15](=[O:16])[C:17]2([H:26])[H:27])([H:18])([H:19])[H:20]>>[C:1]1([H:3])([H:4])[C:2]([H:5])([H:6])[C@@:8]2([C:7]([H:18])([H:19])[H:20])[S:9][C@:10]1([C:11]([H:21])([H:22])[H:23])[C:12]1=[C:13]2[C:14]([H:24])([H:25])[S:15](=[O:16])[C:17]1([H:26])[H:27],0,2026867,0,-49263.90008547754,-741618.3576928573,-790812.0344481114,-790845.1876561546,-790844.911551986,-790877.4617234246,4.796054910169914,37.07012218015734,32.27406726998743,rxn-00000012
13,C=C,c1ccoc1,C1=C[C@H]2CC[C@@H]1O2,"{'1': 0, '2': 1, '5': 6, '4': 7, '3': 8, '6': 10}","[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9, 10, 11, 12, 13, 14]",[C:1](=[C:2]([H:5])[H:6])([H:3])[H:4].[c:7]1([H:12])[c:8]([H:13])[c:9]([H:14])[o:10][c:11]1[H:15]>>[C:1]1([H:3])([H:4])[C:2]([H:5])([H:6])[C@:9]2([H:14])[C:8]([H:13])=[C:7]([H:12])[C@@:11]1([H:15])[O:10]2,0,2041074,0,-49263.90008547754,-144216.3194457603,-193423.4481216099,-193445.8997830824,-193452.3474429284,-193473.948201554,6.271329683833756,34.319748155452544,28.04841847161879,rxn-00000013
14,C=C,CC(=O)O/C=C/C=C/OC(C)=O,CC(=O)O[C@@H]1C=C[C@H](OC(C)=O)CC1,"{'1': 0, '2': 1, '3': 10, '4': 11, '5': 12, '6': 13}","[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",[C:1](=[C:2]([H:5])[H:6])([H:3])[H:4].[C:7]([C:8](=[O:9])[O:10]/[C:11](=[C:12]([C:13](=[C:14](/[O:15][C:16]([C:17]([H:26])([H:27])[H:28])=[O:18])[H:25])/[H:24])\[H:23])[H:22])([H:19])([H:20])[H:21]>>[C:1]1([H:3])([H:4])[C:2]([H:5])([H:6])[C@:11]([O:10][C:8]([C:7]([H:19])([H:20])[H:21])=[O:9])([H:22])[C:12]([H:23])=[C:13]([H:24])[C@:14]1([O:15][C:16]([C:17]([H:26])([H:27])[H:28])=[O:18])[H:25],0,2517009,0,-49263.90008547754,-383542.3071059278,-432740.045102498,-432778.0182108114,-432795.9756494308,-432833.1311128995,-26.92392149422085,28.18898059386993,55.11290208809078,rxn-00000014
16,C=C,O=C(O)/C=C/C=C/C(=O)O,O=C(O)[C@@H]1C=C[C@H](C(=O)O)CC1,"{'1': 0, '2': 1, '3': 9, '4': 10, '5': 11, '6': 12}","[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]",[C:1](=[C:2]([H:5])[H:6])([H:3])[H:4].[O:7]=[C:8]([O:9][H:17])/[C:10](=[C:11]([C:12](=[C:13](/[C:14](=[O:15])[O:16][H:22])[H:21])/[H:20])\[H:19])[H:18]>>[C:1]1([H:3])([H:4])[C:2]([H:5])([H:6])[C@:10]([C:8](=[O:7])[O:9][H:17])([H:18])[C:11]([H:19])=[C:12]([H:20])[C@:13]1([C:14](=[O:15])[O:16][H:22])[H:21],0,4521703,0,-49263.90008547754,-334275.9980115793,-383479.7004857005,-383511.9067819474,-383531.0257406031,-383562.6001348095,-22.70203775272239,27.99131510942243,50.69335286214482,rxn-00000016
17,C=C,c1cnon1,C1=CN2CCN1O2,"{'1': 0, '2': 1, '5': 6, '4': 7, '3': 8, '6': 10}","[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9, 10, 11, 12]",[C:1](=[C:2]([H:5])[H:6])([H:3])[H:4].[c:7]1([H:12])[c:8]([H:13])[n:9][o:10][n:11]1>>[C:1]1([H:3])([H:4])[C:2]([H:5])([H:6])[N:9]2[C:8]([H:13])=[C:7]([H:12])[N:11]1[O:10]2,0,4994469,0,-49263.90008547754,-164303.454938932,-213487.9179725784,-213510.1048250529,-213507.5056808113,-213528.9024988579,38.45252555163461,57.25019935664022,18.797673805005616,rxn-00000017
19,C=C,c1nnco1,C1C[C@H]2N=N[C@@H]1O2,"{'1': 0, '2': 1, '3': 6, '4': 7, '5': 8, '6': 9}","[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9, 10, 11, 12]",[C:1](=[C:2]([H:5])[H:6])([H:3])[H:4].[c:7]1([H:12])[n:8][n:9][c:10]([H:13])[o:11]1>>[C:1]1([H:3])([H:4])[C:2]([H:5])([H:6])[C@:7]2([H:12])[N:8]=[N:9][C@@:10]1([H:13])[O:11]2,0,5048701,0,-49263.90008547754,-164334.7231085151,-213541.7858958699,-213563.8974472074,-213570.4894342325,-213591.8329139738,6.790280018845806,34.725746785261435,27.93546676641563,rxn-00000019
20,C=C,C/C(=C\C=C(/C)C(=O)O)C(=O)O,C[C@]1(C(=O)O)C=C[C@@](C)(C(=O)O)CC1,"{'1': 0, '2': 1, '3': 7, '4': 8, '5': 9, '6': 10}","[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",[C:1](=[C:2]([H:5])[H:6])([H:3])[H:4].[C:7](/[C:8](=[C:9]([C:10](=[C:11](/[C:12]([H:24])([H:25])[H:26])[C:13](=[O:14])[O:15][H:27])\[H:23])/[H:22])[C:16](=[O:17])[O:18][H:28])([H:19])([H:20])[H:21]>>[C:1]1([H:3])([H:4])[C:2]([H:5])([H:6])[C@:8]([C:7]([H:19])([H:20])[H:21])([C:16](=[O:17])[O:18][H:28])[C:9]([H:22])=[C:10]([H:23])[C@:11]1([C:12]([H:24])([H:25])[H:26])[C:13](=[O:14])[O:15][H:27],0,5183621,0,-49263.90008547754,-383560.2526218671,-432736.5699550306,-432772.1899028164,-432806.4255647023,-432841.3790974266,-17.226390081923455,51.96280452830251,69.18919461022597,rxn-00000020
21,C=C,CC(C)/C=N/N=C/C(C)C,CC(C)[C@@H]1CC[C@H](C(C)C)N=N1,"{'1': 0, '2': 1, '3': 9, '4': 10, '5': 11, '6': 12}","[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",[C:1](=[C:2]([H:5])[H:6])([H:3])[H:4].[C:7]([C:8]([C:9]([H:21])([H:22])[H:23])(/[C:10](=[N:11]/[N:12]=[C:13](/[C:14]([C:15]([H:27])([H:28])[H:29])([C:16]([H:30])([H:31])[H:32])[H:26])[H:25])[H:24])[H:20])([H:17])([H:18])[H:19]>>[C:1]1([H:3])([H:4])[C:2]([H:5])([H:6])[C@:10]([C:8]([C:7]([H:17])([H:18])[H:19])([C:9]([H:21])([H:22])[H:23])[H:20])([H:24])[N:11]=[N:12][C@:13]1([C:14]([C:15]([H:27])([H:28])[H:29])([C:16]([H:30])([H:31])[H:32])[H:26])[H:25],0,5452594,0,-49263.90008547754,-265742.9342100702,-314933.0404364169,-314968.1131959413,-314983.1891110556,-315017.270405611,-10.436110063339584,38.7210996063659,49.15720966970548,rxn-00000021
22,C=C,O/N=C\C=N\O,ON1C=CN(O)CC1,"{'1': 0, '2': 1, '3': 7, '4': 8, '5': 9, '6': 10}","[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",[C:1](=[C:2]([H:5])[H:6])([H:3])[H:4].[O:7](/[N:8]=[C:9]([C:10](=[N:11]\[O:12][H:16])\[H:15])/[H:14])[H:13]>>[C:1]1([H:3])([H:4])[C:2]([H:5])([H:6])[N:8]([O:7][H:13])[C:9]([H:14])=[C:10]([H:15])[N:11]1[O:12][H:16],0,6184829,0,-49263.90008547754,-212196.1445395375,-261384.8206717928,-261410.6790821999,-261434.6367664102,-261459.8833550802,0.1612699348188471,49.36554281512508,49.20427288030624,rxn-00000022
24,C=C,CC(=N/O)/C(C)=N/O,CC1=C(C)N(O)CCN1O,"{'1': 0, '2': 1, '4': 7, '3': 8, '5': 10, '6': 12}","[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]",[C:1](=[C:2]([H:5])[H:6])([H:3])[H:4].[C:7]([C:8](=[N:9]/[O:10][H:18])/[C:11]([C:12]([H:19])([H:20])[H:21])=[N:13]/[O:14][H:22])([H:15])([H:16])[H:17]>>[C:1]1([H:3])([H:4])[C:2]([H:5])([H:6])[N:9]([O:10][H:18])[C:8]([C:7]([H:15])([H:16])[H:17])=[C:11]([C:12]([H:19])([H:20])[H:21])[N:13]1[O:14][H:22],0,12358611,0,-49263.90008547754,-261481.0479946214,-310667.646443008,-310697.8861245631,-310714.2233337204,-310743.7420068898,1.2060732091485988,47.06195553581347,45.85588232666487,rxn-00000024
26,C=C,Cc1oc(C)c2c1OCCO2,C[C@]12CC[C@](C)(O1)C1=C2OCCO1,"{'1': 0, '2': 1, '3': 7, '6': 9, '5': 11, '4': 12}","[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",[C:1](=[C:2]([H:5])[H:6])([H:3])[H:4].[C:7]([c:8]1[o:9][c:10]([C:11]([H:21])([H:22])[H:23])[c:12]2[c:13]1[O:14][C:15]([H:24])([H:25])[C:16]([H:26])([H:27])[O:17]2)([H:18])([H:19])[H:20]>>[C:1]1([H:3])([H:4])[C:2]([H:5])([H:6])[C@@:8]2([C:7]([H:18])([H:19])[H:20])[O:9][C@:10]1([C:11]([H:21])([H:22])[H:23])[C:12]1=[C:13]2[O:14][C:15]([H:24])([H:25])[C:16]([H:26])([H:27])[O:17]1,0,13610655,0,-49263.90008547754,-336348.0857507124,-385551.0119956142,-385582.6083526523,-385581.9061695508,-385612.3108860975,-0.3250499076093547,29.377483537595253,29.702533445204608,rxn-00000026
27,C=C,Cc1oc(C)c2c1OCCCO2,C[C@]12CC[C@](C)(O1)C1=C2OCCCO1,"{'1': 0, '2': 1, '3': 7, '6': 9, '5': 11, '4': 12}","[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",[C:1](=[C:2]([H:5])[H:6])([H:3])[H:4].[C:7]([c:8]1[o:9][c:10]([C:11]([H:22])([H:23])[H:24])[c:12]2[c:13]1[O:14][C:15]([H:25])([H:26])[C:16]([H:27])([H:28])[C:17]([H:29])([H:30])[O:18]2)([H:19])([H:20])[H:21]>>[C:1]1([H:3])([H:4])[C:2]([H:5])([H:6])[C@@:8]2([C:7]([H:19])([H:20])[H:21])[O:9][C@:10]1([C:11]([H:22])([H:23])[H:24])[C:12]1=[C:13]2[O:14][C:15]([H:25])([H:26])[C:16]([H:27])([H:28])[C:17]([H:29])([H:30])[O:18]1,0,13610661,0,-49263.90008547754,-360988.8824220166,-410190.268758669,-410223.5198581901,-410222.0615261724,-410254.1887562255,-1.406248731422238,29.26264930400066,30.6688980354229,rxn-00000027
33,C=C,N/N=C/C=N/N,NN1C=CN(N)CC1,"{'1': 0, '2': 1, '3': 7, '4': 8, '5': 9, '6': 10}","[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",[C:1](=[C:2]([H:5])[H:6])([H:3])[H:4].[N:7](/[N:8]=[C:9]([C:10](=[N:11]/[N:12]([H:17])[H:18])/[H:16])\[H:15])([H:13])[H:14]>>[C:1]1([H:3])([H:4])[C:2]([H:5])([H:6])[N:8]([N:7]([H:13])[H:14])[C:9]([H:15])=[C:10]([H:16])[N:11]1[N:12]([H:17])[H:18],0,18022367,0,-49263.90008547754,-187295.0738811478,-236486.9264663608,-236512.9976024797,-236532.1065209839,-236557.7572257551,1.2167408702371176,45.97636414563749,44.75962327540037,rxn-00000033
34,C=C,O/N=C/C=N/O,ON1C=CN(O)CC1,"{'1': 0, '2': 1, '3': 7, '4': 8, '5': 9, '6': 10}","[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",[C:1](=[C:2]([H:5])[H:6])([H:3])[H:4].[O:7](/[N:8]=[C:9]([C:10](=[N:11]/[O:12][H:16])/[H:15])\[H:14])[H:13]>>[C:1]1([H:3])([H:4])[C:2]([H:5])([H:6])[N:8]([O:7][H:13])[C:9]([H:14])=[C:10]([H:15])[N:11]1[O:12][H:16],0,18120428,0,-49263.90008547754,-212196.9810096664,-261384.8206717928,-261410.6790821999,-261434.6367664102,-261459.8833550802,0.9977400637289976,50.20201294403523,49.20427288030624,rxn-00000034
35,C=C,CC(=O)O/C=C\C=C\OC(C)=O,CC(=O)O[C@@H]1C=C[C@@H](OC(C)=O)CC1,"{'1': 0, '2': 1, '3': 10, '4': 11, '5': 12, '6': 13}","[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",[C:1](=[C:2]([H:5])[H:6])([H:3])[H:4].[C:7]([C:8](=[O:9])[O:10]/[C:11](=[C:12]([C:13](=[C:14](\[O:15][C:16]([C:17]([H:26])([H:27])[H:28])=[O:18])[H:25])\[H:24])/[H:23])[H:22])([H:19])([H:20])[H:21]>>[C:1]1([H:3])([H:4])[C:2]([H:5])([H:6])[C@@:11]([O:10][C:8]([C:7]([H:19])([H:20])[H:21])=[O:9])([H:22])[C:12]([H:23])=[C:13]([H:24])[C@:14]1([O:15][C:16]([C:17]([H:26])([H:27])[H:28])=[O:18])[H:25],0,31317755,0,-49263.90008547754,-383542.6854941406,-432737.7446527661,-432775.0413058665,-432796.1538621213,-432833.2660274364,-26.68044781824574,31.544273751671422,58.224721569917165,rxn-00000035
36,C=C,CC(=O)O/C=C\C=C\OC(C)=O,CC(=O)O[C@H]1C=C[C@H](OC(C)=O)CC1,"{'1': 0, '2': 1, '3': 10, '4': 11, '5': 12, '6': 13}","[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",[C:1](=[C:2]([H:5])[H:6])([H:3])[H:4].[C:7]([C:8](=[O:9])[O:10]/[C:11](=[C:12]([C:13](=[C:14](\[O:15][C:16]([C:17]([H:26])([H:27])[H:28])=[O:18])[H:25])\[H:24])/[H:23])[H:22])([H:19])([H:20])[H:21]>>[C:1]1([H:3])([H:4])[C:2]([H:5])([H:6])[C@:11]([O:10][C:8]([C:7]([H:19])([H:20])[H:21])=[O:9])([H:22])[C:12]([H:23])=[C:13]([H:24])[C@@:14]1([O:15][C:16]([C:17]([H:26])([H:27])[H:28])=[O:18])[H:25],0,31317755,1,-49263.90008547754,-383542.6854941406,-432737.7446527661,-432775.0394233381,-432796.1532346119,-432833.2647724175,-26.679192799376324,31.546156280091964,58.22534907946829,rxn-00000036
38,C=C,Cc1nsnc1C,CC1=C(C)N2CCN1S2,"{'1': 0, '2': 1, '4': 7, '3': 8, '6': 10, '5': 11}","[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",[C:1](=[C:2]([H:5])[H:6])([H:3])[H:4].[C:7]([c:8]1[n:9][s:10][n:11][c:12]1[C:13]([H:17])([H:18])[H:19])([H:14])([H:15])[H:16]>>[C:1]1([H:3])([H:4])[C:2]([H:5])([H:6])[N:9]2[C:8]([C:7]([H:14])([H:15])[H:16])=[C:12]([C:13]([H:17])([H:18])[H:19])[N:11]1[S:10]2,0,36466062,0,-49263.90008547754,-416272.3290348884,-465442.5639187198,-465470.4529497851,-465468.2070933775,-465494.8210251915,41.408095174469054,65.77617058088072,24.368075406411663,rxn-00000038
